,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
121,2002-02-11,Malta,Lithuania,1,1,Malta International Tournament,Attard,Malta,2,0
122,2002-02-13,Lithuania,Jordan,0,3,Malta International Tournament,Attard,Malta,3,-3
123,2002-04-17,Serbia,Lithuania,4,1,Friendly,Smederevo,Yugoslavia,5,3
124,2002-08-21,Lithuania,Israel,2,4,Friendly,Kaunas,Lithuania,6,-2
125,2002-09-07,Lithuania,Germany,0,2,UEFA Euro qualification,Kaunas,Lithuania,2,-2
126,2002-10-12,Lithuania,Faroe Islands,2,0,UEFA Euro qualification,Kaunas,Lithuania,2,2
127,2002-10-16,Iceland,Lithuania,3,0,UEFA Euro qualification,Reykjav�k,Iceland,3,3
128,2003-02-12,Latvia,Lithuania,2,1,Friendly,Antalya,Turkey,3,1
129,2003-03-29,Germany,Lithuania,1,1,UEFA Euro qualification,Nuremberg,Germany,2,0
130,2003-04-02,Lithuania,Scotland,1,0,UEFA Euro qualification,Kaunas,Lithuania,1,1
131,2003-04-30,Lithuania,Romania,0,1,Friendly,Kaunas,Lithuania,1,-1
132,2003-06-11,Lithuania,Iceland,0,3,UEFA Euro qualification,Kaunas,Lithuania,3,-3
133,2003-07-03,Estonia,Lithuania,1,5,Baltic Cup,Valga,Estonia,6,-4
134,2003-07-04,Latvia,Lithuania,2,1,Baltic Cup,Valga,Estonia,3,1
135,2003-08-20,Bulgaria,Lithuania,3,0,Friendly,Sofia,Bulgaria,3,3
136,2003-09-10,Faroe Islands,Lithuania,1,3,UEFA Euro qualification,Toftir,Faroe Islands,4,-2
137,2003-10-11,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland,1,1
138,2003-12-14,Lithuania,Poland,1,3,Friendly,Attard,Malta,4,-2
139,2004-03-30,Israel,Lithuania,2,1,Friendly,Ramat-Gan,Israel,3,1
140,2004-04-28,Belarus,Lithuania,1,0,Friendly,Minsk,Belarus,1,1
141,2004-06-05,Portugal,Lithuania,4,1,Friendly,Set�bal,Portugal,5,3
